"ano","ambito","territorio","sexo","nacionalidad","salario_medio_bruto_eur_anuales","valor_original_ine","unidad","estado_dato","tipo_dato_ine","nota_muestral","fuente","url"
"2023","nacionalidad_area","Total Nacional","Ambos sexos","De Africa","18951.06","18951.06","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Hombres","De Africa","20097.04","20097.04","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Mujeres","De Africa","15025.37","15025.37","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Ambos sexos","De América","18725.59","18725.59","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Hombres","De América","20529.03","20529.03","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Mujeres","De América","16887.68","16887.68","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Ambos sexos","Española","28662.47","28662.47","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Hombres","Española","31157.39","31157.39","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Mujeres","Española","26079.31","26079.31","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Ambos sexos","Otros países","18720.87","18720.87","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Hombres","Otros países","19058.23","19058.23","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Mujeres","Otros países","17942.59","-17942.59","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Ambos sexos","País de Europa menos UE27_2020","26572.36","26572.36","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Hombres","País de Europa menos UE27_2020","30266.33","30266.33","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Mujeres","País de Europa menos UE27_2020","22151.66","22151.66","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Ambos sexos","País de la UE27_2020 sin España","25950.79","25950.79","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Hombres","País de la UE27_2020 sin España","28007.86","28007.86","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Mujeres","País de la UE27_2020 sin España","23782.29","23782.29","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Ambos sexos","Total","28049.94","28049.94","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Hombres","Total","30372.49","30372.49","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
"2023","nacionalidad_area","Total Nacional","Mujeres","Total","25591.31","25591.31","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28190","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28190?tip=AM"
