year,months_available,is_partial_year,social_security_average_affiliations_total_annual_mean,source_institution,source_dataset,source_url
2001,12,false,15685848.96,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2002,12,false,16173294.14,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2003,12,false,16688147.38,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2004,12,false,17148364.82,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2005,12,false,17906996.47,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2006,12,false,18674963.9,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2007,12,false,19232797.23,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2008,12,false,19129805.18,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2009,12,false,18019045.3,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2010,12,false,17667468.03,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2011,12,false,17430570.98,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2012,12,false,16845859.65,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2013,12,false,16298011.17,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2014,12,false,16553786.24,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2015,12,false,17083765.88,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2016,12,false,17596979.67,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2017,12,false,18223083.28,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2018,12,false,18788079.16,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2019,12,false,19277818.24,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2020,12,false,18881311.08,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2021,12,false,19357309.35,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2022,12,false,20107667.61,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2023,12,false,20642597.3,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2024,12,false,21147912.43,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2025,12,false,21635194.41,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
2026,4,true,21808061.41,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
